   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      291    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      141    0.000    0.000    0.000    0.000 genericpath.py:93(_splitext)
      119    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tarfile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:420(_ZipDecrypter)
        1    0.000    0.000    0.000    0.000 zipfile.py:433(_GenerateCRCTable)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
     1971    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       70    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
       91    0.000    0.000    0.000    0.000 pyparsing.py:1577(__init__)
      249    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:2718(DistInfoDistribution)
      639    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
        3    0.000    0.000    0.000    0.000 numeric.py:365(extend_all)
       16    0.000    0.000    0.000    0.000 {_io.open}
       71    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       14    0.000    0.000    0.000    0.000 __init__.py:1477(get_metadata_lines)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:1471(get_metadata)
        2    0.000    0.000    0.000    0.000 response.py:1(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:511(_numpy_tester)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3027(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1254(makeRecord)
     1487    0.000    0.000    0.000    0.000 {_sre.getlower}
      627    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      141    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        8    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 cookies.py:10(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        3    0.000    0.000    0.000    0.000 six.py:689(exec_)
       86    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
      192    0.000    0.000    0.000    0.000 collections.py:71(__setitem__)
        3    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 adapters.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:237(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:957(_register_types)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       83    0.000    0.000    0.000    0.000 __init__.py:1529(_fn)
      107    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
  112/108    0.000    0.000    0.000    0.000 pyparsing.py:286(__init__)
      118    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
      106    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:3342(originalTextFor)
     1974    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      129    0.000    0.000    0.000    0.000 six.py:105(__init__)
      528    0.000    0.000    0.000    0.000 six.py:184(find_module)
      181    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
